model,fp_per_scan,sensitivity,method
central,0.125,0.3575,iou_threshold_sweep
central,0.25,0.3575,iou_threshold_sweep
central,0.5,0.3575,iou_threshold_sweep
central,1.0,0.3575,iou_threshold_sweep
central,2.0,0.3575,iou_threshold_sweep
central,4.0,0.3575,iou_threshold_sweep
central,8.0,0.3575,iou_threshold_sweep
fl_iid,0.125,0.9686,iou_threshold_sweep
fl_iid,0.25,0.9686,iou_threshold_sweep
fl_iid,0.5,0.9686,iou_threshold_sweep
fl_iid,1.0,0.9686,iou_threshold_sweep
fl_iid,2.0,0.9686,iou_threshold_sweep
fl_iid,4.0,0.9254,iou_threshold_sweep
fl_iid,8.0,0.6793,iou_threshold_sweep
fl_rus,0.125,0.9707,iou_threshold_sweep
fl_rus,0.25,0.9707,iou_threshold_sweep
fl_rus,0.5,0.9707,iou_threshold_sweep
fl_rus,1.0,0.9707,iou_threshold_sweep
fl_rus,2.0,0.9707,iou_threshold_sweep
fl_rus,4.0,0.9361,iou_threshold_sweep
fl_rus,8.0,0.6786,iou_threshold_sweep
